MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9305,NUFC,2,2,LIV,37.7,62.3,4,7,14,23,536,777,327,555,21,17,38,31,3,13,0,2,14,838.303,80.0,277.012,481.291,13,880.378,199.762,236.0,444.616
9299,TOT,0,3,WHU,60.8,39.2,4,5,14,16,709,530,502,321,19,27,16,25,6,7,3,3,14,834.044,46.396,343.848,443.8,14,807.145,150.0,286.161,370.984
9300,WBA,1,1,ARS,44.1,55.9,4,5,12,14,622,728,410,539,15,22,23,29,6,2,4,2,14,785.418,151.234,239.698,394.486,13,881.432,193.64,294.792,393.0
9297,NOR,1,3,CHE,44.8,55.2,3,8,14,22,581,691,405,506,14,16,23,22,4,6,1,2,13,819.367,72.567,371.8,375.0,14,906.813,242.678,263.996,400.139
9298,SOT,2,0,SWAN,42.6,57.4,4,7,12,17,572,713,367,497,23,14,23,18,7,4,5,1,14,836.068,136.456,347.956,351.656,12,838.976,253.176,206.8,379.0
9296,SUN,1,2,MUFC,37.5,62.5,2,6,6,13,545,831,338,571,22,20,27,52,4,4,1,3,14,808.021,86.816,432.205,289.0,14,889.532,187.232,298.344,403.956
9291,CAR,1,2,NUFC,57.3,42.7,2,10,8,20,707,589,477,360,20,19,22,39,3,3,1,1,14,787.5,130.376,300.124,357.0,13,844.787,139.12,245.879,459.788
9292,FUL,1,0,STK,44.2,55.8,2,3,9,16,624,707,394,500,18,16,35,14,7,5,6,5,14,785.236,154.758,219.333,411.145,14,815.79,80.092,310.122,425.576
9293,HUL,0,0,AVL,45.7,54.3,1,4,6,18,559,677,367,461,14,20,28,48,7,7,1,2,14,790.953,211.201,222.752,357.0,13,802.928,217.996,218.932,366.0
9294,LIV,3,1,CRY,61,39,7,2,13,11,847,612,614,394,20,29,33,32,11,3,5,1,14,888.045,270.07,215.975,402.0,14,779.268,154.7,230.568,394.0
9295,MCFC,3,1,EVE,53.9,46.1,6,4,12,6,671,630,491,417,20,22,14,31,8,1,3,4,14,907.626,160.264,345.248,402.114,14,860.533,254.533,210.0,396.0
9290,EVE,3,2,NUFC,49.9,50.1,8,6,19,15,718,706,512,508,20,21,25,18,1,1,3,4,14,866.77,171.32,298.691,396.759,14,848.733,97.708,324.025,427.0
9289,SUN,1,3,LIV,46.3,53.7,5,6,23,15,571,664,348,419,23,19,26,54,10,8,4,1,13,812.586,74.0,505.66,232.926,12,890.668,185.193,303.475,402.0
9288,STK,0,1,NOR,55.8,44.2,1,3,8,8,687,604,463,366,22,35,29,31,7,3,4,2,14,814.801,111.301,253.5,450.0,13,814.0,72.156,366.306,375.538
9286,SWAN,1,2,ARS,58.5,41.5,3,4,10,10,812,622,624,437,16,18,7,16,4,3,3,4,13,830.098,252.773,204.325,373.0,14,882.869,164.086,314.33,404.453
9281,AVL,3,2,MCFC,33.3,66.7,4,7,8,21,451,757,273,554,18,14,29,19,2,13,0,5,12,798.668,145.668,216.0,437.0,13,902.733,166.0,331.733,405.0
9282,FUL,1,2,CAR,48.6,51.4,5,5,9,22,603,645,388,430,10,16,32,35,11,10,1,0,14,799.748,143.744,181.644,474.36,14,786.9,141.8,288.1,357.0
9283,HUL,1,0,WHU,41.1,58.9,4,6,11,18,520,668,312,450,18,16,44,29,6,6,2,0,14,794.412,214.219,223.193,357.0,14,797.335,191.328,223.367,382.64
9284,MUFC,1,2,WBA,59.1,40.9,6,4,14,12,756,568,527,368,21,13,32,35,5,8,4,1,14,872.152,171.492,258.52,442.14,14,797.38,204.768,240.368,352.244
9285,SOT,2,0,CRY,60.8,39.2,4,0,12,8,765,550,537,338,15,22,35,27,8,2,1,2,14,835.156,144.012,239.144,452.0,14,767.846,190.298,211.586,365.962
9287,TOT,1,1,CHE,53.5,46.5,3,5,12,11,616,548,409,343,14,21,28,24,4,5,2,10,14,852.968,87.508,363.252,402.208,14,909.746,202.948,286.636,420.162
9278,CAR,0,1,TOT,36.3,63.7,0,12,6,29,510,720,288,513,23,15,51,16,2,12,6,1,13,788.057,122.984,308.073,357.0,14,857.6,106.538,357.062,394.0
9280,MCFC,4,1,MUFC,41.6,58.4,5,3,18,14,524,697,334,478,22,14,28,38,8,4,1,4,14,909.971,167.128,337.843,405.0,12,885.835,165.0,317.835,403.0
9277,ARS,3,1,STK,50.4,49.6,9,3,17,10,706,663,526,507,23,20,14,9,6,7,1,1,14,878.522,156.343,305.815,416.364,14,811.343,86.609,293.166,431.568
9279,CRY,0,2,SWAN,43.4,56.6,1,7,9,15,617,787,413,550,20,16,20,49,6,8,1,4,14,785.244,146.488,285.256,353.5,14,835.711,241.591,210.12,384.0
