MId,Home_Team,Home_Team_Goals,Away_Team_Goals,Away_Team,Home_Poss,Away_Poss,Home_ShotsT,Away_ShotsT,Home_Shots,Away_Shots,Home_Touches,Away_Touches,Home_Passes,Away_Passes,Home_Tackles,Away_Tackles,Home_Clearances,Away_Clearances,Home_Corners,Away_Corners,Home_Offsides,Away_Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9699,Spurs,1,2,Newcastle,66.9,33.1,2,2,18,8,791,530,556,277,26,29,17,41,10,2,1,2,14,857.078,180.046,286.032,391,14,816.134,141.094,291.5,383.54
9694,Swansea,2,0,Leicester,49.5,50.5,3,4,7,9,718,735,543,554,15,17,23,19,2,2,1,1,14,829.406,130.92,323.486,375,14,775.684,196.08,227.604,352
9691,Liverpool,0,0,Hull,65.9,34.1,4,3,17,6,773,506,535,288,21,24,19,47,14,1,1,1,14,840.646,328.116,143.721,368.809,14,787.134,88.825,418.309,280
9692,Southampton,1,0,Stoke,61.2,38.8,2,1,20,8,752,534,561,351,21,21,13,19,6,3,1,3,13,846.814,77,387,382.814,14,826.445,194.967,180.478,451
9693,Sunderland,0,2,Arsenal,42.9,57.1,3,5,11,15,608,755,401,539,21,31,19,25,3,3,2,0,14,806.266,74.224,354.048,377.994,14,865.344,163.88,317.066,384.398
9695,West Brom,2,2,Crystal Palace,68.8,31.2,4,6,17,8,760,457,560,258,14,20,28,35,6,3,1,4,13,801.734,147.5,220,434.234,14,803.321,130.825,308.663,363.833
9696,West Ham,2,1,Man City,30.5,69.5,4,5,12,21,441,763,239,560,16,17,32,36,4,8,3,2,14,819.641,222.409,229.232,368,14,909.445,256.312,244.133,409
9690,West Brom,2,2,Man Utd,37.3,62.7,2,7,8,22,558,790,359,574,13,19,55,28,0,11,0,1,12,797.956,146.612,223.344,428,14,880.108,241.94,244.168,394
9689,Stoke,2,1,Swansea,43,57,3,5,17,13,570,693,358,483,23,25,24,27,3,5,0,0,14,827.677,272.068,155.595,400.014,14,828.276,179.902,273.374,375
9688,QPR,2,3,Liverpool,43.5,56.5,5,4,15,15,569,685,336,454,22,26,27,58,7,2,1,2,14,808.401,138.46,239.964,429.977,14,846.182,303.534,99.292,443.356
9681,Arsenal,2,2,Hull,65.8,34.2,9,4,25,4,919,568,698,375,21,27,5,38,10,0,0,0,13,864.003,163,302.227,398.776,14,795.142,74.2,362,358.942
9682,Burnley,1,3,West Ham,46.5,53.5,3,6,17,22,605,678,360,426,13,17,32,60,5,7,2,1,14,780.172,142.654,280.518,357,13,819.234,227.474,223.76,368
9683,Crystal Palace,1,2,Chelsea,28.5,71.5,4,5,7,14,465,934,288,757,15,17,23,25,3,2,2,0,14,804.89,70,341.97,392.92,14,913.698,164.935,290.422,458.341
9684,Everton,3,0,Aston Villa,60.7,39.3,6,2,15,10,835,578,647,398,13,13,33,24,3,4,2,1,14,863.242,210.666,258.576,394,14,822.033,167.8,279.1,375.133
9686,Newcastle,1,0,Leicester,50.5,49.5,6,2,19,7,609,594,379,374,21,19,27,37,10,7,2,1,14,818.925,179.112,264.413,375.4,14,779.536,126.298,301.238,352
9687,Southampton,8,0,Sunderland,52.6,47.4,10,1,21,13,662,614,472,428,20,10,32,25,5,6,3,0,14,846.667,131.095,333.572,382,14,800.908,148,324.908,328
9685,Man City,4,1,Spurs,61.7,38.3,12,7,20,19,812,587,618,377,20,19,17,18,3,4,3,2,14,890.918,172.668,313.25,405,14,854.999,161,288.795,405.204
9680,West Ham,2,0,QPR,48.7,51.3,3,3,11,10,627,661,402,431,23,23,32,49,7,5,4,2,13,820.844,294.644,159.2,367,14,811.847,131.968,310.879,369
9677,Chelsea,2,0,Arsenal,47,53,3,0,5,10,648,744,441,505,29,25,29,29,2,2,3,0,14,916.502,166.228,276.88,473.394,14,875.631,235.435,242.486,397.71
