MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
12197,Everton,0,3,Man Utd,47.2,52.8,3,7,12,10,656,728,458,524,25,23,21,25,5,3,0,1,13,831.067,238.5,287.567,305.0,14,898.31,85.0,404.31,409.0
12198,Man City,5,1,Bournemouth,54.4,45.6,11,1,16,5,759,631,566,451,14,15,29,14,1,7,2,1,14,895.192,89.709,396.483,409.0,14,792.043,59.184,307.169,425.69
12199,Southampton,2,2,Leicester,50.6,49.4,6,7,14,27,599,580,360,342,15,19,58,15,6,7,1,0,14,849.334,156.0,381.999,311.335,13,833.0,117.0,299.5,416.5
12202,West Brom,1,0,Sunderland,56.2,43.8,2,2,9,9,636,540,452,352,9,24,18,43,1,5,2,5,13,816.034,221.884,235.15,359.0,14,811.34,16.458,311.23,483.652
12200,Spurs,0,0,Liverpool,48.5,51.5,4,3,13,12,687,709,407,441,41,29,36,27,8,6,2,5,13,877.933,302.582,169.351,406.0,13,870.171,229.228,243.943,397.0
12192,Arsenal,3,0,Man Utd,37.8,62.2,5,5,12,9,606,797,389,632,29,22,28,5,3,6,2,3,14,902.797,171.998,318.899,411.9,14,893.542,85.0,476.113,332.429
12194,Swansea,2,2,Spurs,45.6,54.4,2,11,11,19,610,680,404,483,18,17,21,28,5,6,1,0,13,851.33,142.807,321.523,387.0,14,875.364,253.741,217.623,404.0
12193,Everton,1,1,Liverpool,50.9,49.1,4,4,14,13,615,591,388,372,27,27,25,28,5,11,1,0,13,815.123,238.122,289.001,288.0,13,874.258,243.624,233.634,397.0
12187,Chelsea,1,3,Southampton,60.2,39.8,3,5,10,13,734,572,551,360,22,19,12,30,4,6,1,3,14,913.122,204.622,298.5,410.0,14,850.526,156.0,304.734,389.792
12185,Aston Villa,0,1,Stoke,56.3,43.7,2,5,13,12,711,601,478,381,18,27,17,29,9,5,2,2,14,822.844,175.144,309.7,338.0,14,843.268,230.2,211.593,401.475
12186,Bournemouth,1,1,Watford,54.4,45.6,6,2,12,11,718,614,496,421,10,18,22,16,5,3,4,1,13,797.411,72.0,331.721,393.69,14,815.103,169.247,281.352,364.504
12189,Man City,6,1,Newcastle,64.3,35.7,11,4,23,6,770,524,590,335,20,24,13,23,6,3,1,3,14,901.193,98.055,396.138,407.0,14,825.432,149.0,307.267,369.165
12190,Norwich,1,2,Leicester,66.2,33.8,2,5,17,16,745,491,486,254,14,31,44,40,16,8,2,1,14,809.416,165.32,352.096,292.0,14,822.03,154.334,246.648,421.048
12191,Sunderland,2,2,West Ham,44.1,55.9,3,6,12,20,547,643,367,440,25,19,32,12,1,8,2,2,14,817.228,68.109,392.158,356.961,14,836.257,173.648,284.944,377.665
12188,Crystal Palace,2,0,West Brom,60.4,39.6,8,2,21,7,689,496,443,302,16,22,32,35,8,3,3,1,13,829.956,146.0,382.956,301.0,14,808.88,117.0,337.278,354.602
12184,West Brom,2,3,Everton,46,54,4,4,9,12,589,672,397,470,19,17,22,37,6,4,3,2,14,811.455,140.793,313.107,357.555,14,818.145,237.298,306.047,274.8
12183,Watford,0,1,Crystal Palace,55.3,44.7,2,3,15,16,585,512,386,313,14,14,20,50,6,4,0,0,14,817.733,159.853,358.548,299.332,14,825.357,146.0,378.357,301.0
12178,Newcastle,2,2,Chelsea,35.5,64.5,5,4,11,16,516,748,293,532,30,27,25,17,4,6,1,3,14,816.804,145.58,305.2,366.024,14,907.644,162.644,340.0,405.0
12175,Leicester,2,5,Arsenal,42,58,7,12,16,27,590,782,360,532,21,21,20,46,6,5,0,2,14,817.294,138.097,376.197,303.0,14,910.603,182.102,318.501,410.0
12176,Liverpool,3,2,Aston Villa,62.4,37.6,12,4,21,10,762,558,572,343,27,18,8,32,11,1,3,1,12,874.836,243.0,234.836,397.0,13,819.0,73.0,371.0,375.0
12177,Man Utd,3,0,Sunderland,66.2,33.8,7,4,12,9,782,473,604,311,18,23,15,18,5,2,0,0,14,893.398,85.0,403.22,405.178,13,814.722,56.794,353.428,404.5
12179,Southampton,3,1,Swansea,41.5,58.5,6,4,17,11,564,730,380,542,17,7,25,16,4,3,6,3,14,849.359,155.648,304.711,389.0,14,849.889,155.0,309.889,385.0
12180,Stoke,2,1,Bournemouth,43.7,56.3,5,6,8,12,560,676,383,488,15,16,30,18,3,7,2,4,14,846.067,192.067,257.475,396.525,14,800.112,72.567,357.235,370.31
12182,West Ham,2,2,Norwich,42.9,57.1,7,7,19,16,565,675,349,482,17,16,22,36,7,5,3,0,14,843.066,152.8,311.266,379.0,14,812.109,146.189,299.92,366.0
12181,Spurs,4,1,Man City,46,54,8,8,15,22,671,709,407,478,28,18,40,28,5,9,5,3,14,876.331,231.684,240.647,404.0,14,893.312,84.128,412.184,397.0
12172,Liverpool,1,1,Norwich,58.9,41.1,7,2,23,7,787,591,579,399,19,15,14,27,6,2,3,1,14,875.7,260.5,218.2,397.0,13,806.932,72.156,442.776,292.0
12173,Southampton,2,3,Man Utd,40.8,59.2,8,3,15,10,556,742,382,575,21,15,10,31,5,5,1,3,14,833.634,167.7,292.434,373.5,14,891.568,85.0,403.665,402.903
12174,Spurs,1,0,Crystal Palace,57.1,42.9,6,4,21,12,698,569,436,323,32,31,27,35,6,5,3,3,14,874.062,189.579,280.483,404.0,14,826.385,115.19,413.195,298.0
12168,Man City,1,2,West Ham,71.5,28.5,8,3,27,6,905,504,669,279,19,20,17,57,16,3,2,2,14,903.898,114.251,390.373,399.274,14,837.175,148.34,309.667,379.168
12165,Aston Villa,0,1,West Brom,59.8,40.2,3,6,13,10,680,534,451,303,30,15,33,38,2,7,2,1,14,817.688,110.5,320.956,386.232,14,815.416,136.369,319.2,359.847
12166,Bournemouth,2,0,Sunderland,53.1,46.9,5,2,15,9,672,619,463,416,23,25,15,18,7,3,2,4,14,802.468,74.532,359.166,368.77,14,823.004,131.968,339.7,351.336
12169,Newcastle,1,2,Watford,57.6,42.4,5,4,15,13,728,587,493,381,19,29,8,19,5,5,4,1,14,842.213,149.5,319.705,373.008,14,817.113,153.0,356.121,307.992
12170,Stoke,2,2,Leicester,54.1,45.9,4,5,11,12,647,597,432,371,32,15,18,33,3,4,3,1,14,842.887,175.23,221.807,445.85,14,823.133,154.133,366.0,303.0
12171,Swansea,0,0,Everton,47.9,52.1,3,2,12,17,610,648,407,454,21,17,22,14,2,4,3,1,14,849.826,130.362,334.464,385.0,13,816.714,293.594,233.12,290.0
12167,Chelsea,2,0,Arsenal,62.9,37.1,6,2,22,9,816,573,628,360,23,21,16,22,5,5,0,3,14,912.402,166.555,340.847,405.0,14,900.162,171.998,287.164,441.0
12164,West Ham,2,0,Newcastle,39.1,60.9,3,4,17,14,542,697,314,477,18,17,25,21,6,7,0,2,14,840.915,127.862,335.784,377.269,14,841.569,126.617,333.952,381.0
12162,Leicester,3,2,Aston Villa,48.7,51.3,6,4,21,11,646,639,388,416,32,29,15,30,4,5,1,1,14,827.399,138.097,386.302,303.0,14,818.411,94.125,350.242,374.044
