HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
14,792.091,21.66,407.431,363,14,829.47,138.788,321.088,"369.594
"
14,882.569,241.912,234.835,405.822,14,815.49,117.428,254.062,"444
"
14,847.323,156,306.823,384.5,14,794.122,36.0,395.122,"363
"
14,828.459,228.094,299.975,300.39,14,796.377,78,316.419,"401.958
"
12,832.556,146,310.556,376,14,898.981,85,427.608,"386.373
"
14,897.546,123.8,361.888,411.858,14,810.036,72.868,370.168,"367
"
13,826.954,165.036,293.542,368.376,14,852.115,154.159,309.131,"388.825
"
14,849.856,155.888,308.968,385,14,906.29,249.506,236.667,"420.117
"
14,812.56,149.612,275.868,387.08,14,837.536,163.048,300.488,"374
"
14,816.665,231.844,231.873,352.948,14,828.457,136.663,316.794,"375
"
14,902.494,261.792,244.494,396.208,14,876.153,256.328,221.956,"397.869
"
14,872.498,235.96,239.538,397,14,850.708,166.92,294.788,"389
"
14,797.511,72.0,345.821,379.69,14,881.785,241.272,234.78,"405.733
"
14,894.639,85,406.039,403.6,14,899.057,79.454,397.371,"422.232
"
14,802.144,76.0,333.141,393.003,14,826.196,149,282.873,"394.323
"
13,902.723,255,241.854,405.869,14,832.09,162.847,367.666,"301.577
"
13,814.366,218.856,150.51,445,14,850.577,156.825,308.752,"385
"
13,831.69,101.8,278.89,451,14,824.145,127.333,410.888,"285.924
"
12,815.601,153.601,369,293,13,816.266,229.616,227.65,"359
"
14,844.302,179.642,283.36,381.3,14,812.722,152.153,271.879,"388.69
"
14,840.513,163.999,301.645,374.869,14,911.335,167.0,335.5,"408.835
"
14,845.996,112.501,346.495,387,14,848.223,167.416,280.157,"400.65
"
14,829.356,149.022,310.5,369.834,14,813.976,106.527,346.407,"361.042
"
14,814.702,165.859,287.551,361.292,14,909.601,187.898,311.703,"410
"
14,898.77,167.88,326.89,404,13,815.358,130.456,311.324,"373.578
"
14,827.636,146,380.636,301,14,838.226,175.995,288.231,"374
"
13,831.067,238.5,287.567,305,14,898.31,85,404.31,"409
"
14,895.192,89.709,396.483,409,14,792.043,59.184,307.169,"425.69
"
14,849.334,156,381.999,311.335,13,833.0,117.0,299.5,"416.5
"
13,816.034,221.884,235.15,359,14,811.34,16.458,311.23,"483.652
"
